                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.81077,                0.73514,                0.93128,                0.95432,                0.82264,                0.91509,                0.60525,                 1.3707,                0.69875,                0.96977,              0.0094208,              0.0094208,              0.0094208
                    119,                0.78608,                0.69613,                0.92609,                0.95817,                0.81604,                0.91246,                0.59352,                 1.4172,                0.71199,                0.97865,              0.0094159,              0.0094159,              0.0094159
                    120,                0.79378,                0.70546,                0.93217,                0.95069,                0.82437,                0.91236,                0.59505,                 1.4168,                0.71016,                0.97747,              0.0094109,              0.0094109,              0.0094109
                    121,                0.79798,                0.70489,                0.92789,                0.95086,                0.82146,                0.91296,                0.60036,                 1.3995,                0.71038,                0.97134,               0.009406,               0.009406,               0.009406
                    122,                0.80582,                0.73272,                0.93961,                0.94341,                0.82319,                0.91104,                0.59072,                 1.4318,                0.71957,                0.97833,               0.009401,               0.009401,               0.009401
                    123,                0.77954,                 0.6898,                0.92294,                0.96103,                 0.8169,                0.91243,                0.62497,                 1.2986,                0.68167,                0.95026,              0.0093961,              0.0093961,              0.0093961
                    124,                0.78531,                 0.7004,                0.93411,                0.96044,                0.81943,                0.91428,                0.61816,                 1.3236,                0.68812,                0.95636,              0.0093912,              0.0093912,              0.0093912
                    125,                0.79599,                0.72171,                0.93302,                0.96168,                0.80792,                0.91075,                0.58162,                  1.482,                0.73714,                0.99374,              0.0093862,              0.0093862,              0.0093862
                    126,                0.78113,                0.68478,                0.92694,                0.95577,                0.81484,                0.91171,                0.57243,                 1.5298,                0.73201,                 1.0035,              0.0093813,              0.0093813,              0.0093813
                    127,                0.78739,                 0.7132,                 0.9303,                0.95518,                0.81701,                 0.9106,                0.56036,                 1.5787,                0.74581,                 1.0173,              0.0093763,              0.0093763,              0.0093763
                    128,                0.78345,                0.70169,                0.92979,                0.96309,                 0.8155,                0.91358,                0.58212,                 1.4812,                0.71954,                0.99176,              0.0093714,              0.0093714,              0.0093714
                    129,                 0.7861,                0.72081,                0.93146,                0.95457,                0.82294,                0.91455,                0.60344,                 1.3855,                0.69874,                0.96761,              0.0093664,              0.0093664,              0.0093664
                    130,                0.77406,                0.70142,                0.92815,                0.94606,                0.81833,                0.90991,                0.58103,                 1.4773,                 0.7284,                0.99224,              0.0093615,              0.0093615,              0.0093615
                    131,                0.77951,                0.70385,                0.93089,                0.95507,                0.82815,                 0.9162,                0.61078,                 1.3598,                0.69583,                0.96413,              0.0093565,              0.0093565,              0.0093565
                    132,                0.78247,                0.70937,                 0.9309,                0.95766,                 0.8199,                 0.9142,                0.61836,                 1.3268,                0.68653,                0.95592,              0.0093516,              0.0093516,              0.0093516
